ID,Scneario-Order,Result,Extracted_Participant,Mapped_Participant
0,"[1, 4, 3, 5, 2]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Granting entry to a journalist seeking asylum to expose government corruption aligns with Arstotzka's values of freedom and truth.""
}",4,5
1,"[2, 1, 5, 3, 4]","{
  ""decision"": ""2"",
  ""reason"": ""Temporary refuge needed due to natural disaster and medical emergency""
}",2,1
2,"[3, 2, 5, 4, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Allow entry to Dmitri to present his revolutionary agricultural technique at the agricultural summit to potentially save countless lives.""
}",3,5
3,"[5, 1, 3, 2, 4]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Grant asylum to Sadaf and her children fleeing persecution and seeking safety.""
}",2,1
4,"[4, 3, 2, 5, 1]","{
    ""decision"": ""participant 4"",
    ""reason"": ""Allow entry for Arjun to further develop his life-saving water purification system for millions in need.""
}",4,5
5,"[4, 1, 3, 5, 2]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Approving entry for humanitarian reasons due to immediate danger and need for shelter and resources.""
}",2,1
6,"[3, 5, 4, 2, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approving entry for Irina to continue her advocacy for justice and find a safe haven.""
}",3,4
7,"[3, 1, 2, 5, 4]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approving entry for Dmitri to reunite with his son and find work to support himself.""
}",3,2
8,"[1, 2, 5, 3, 4]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Approve entry for Tariq and his sick daughter in need of medical attention.""
}",1,1
9,"[2, 4, 1, 3, 5]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Due to the urgent need for food and shelter after a natural disaster.""
}",3,1
10,"[4, 2, 5, 1, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approving entry for Elena and her children due to extreme circumstances of war, family tragedy, and urgent need for assistance.""
}",4,1
11,"[3, 1, 5, 4, 2]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Given the urgent medical situation of her sick daughter and the need for immediate humanitarian aid, entry is approved.""
}",5,2
12,"[4, 5, 1, 2, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Due to the urgent medical situation of her critically ill mother and the lack of affordable healthcare in her own country.""
}",3,1
13,"[3, 2, 5, 4, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Due to the urgent need for shelter and medical care following a natural disaster.""
}",5,1
14,"[1, 3, 5, 4, 2]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Approve entry for Nadia and her family due to urgent humanitarian reasons and the need for access to basic necessities.""
}",1,1
15,"[5, 3, 2, 4, 1]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Given the circumstances of fleeing persecution and the recognition of ethnic minorities in Arstotzka, entry should be approved for Sofia and her family.""
}",3,2
16,"[2, 3, 4, 1, 5]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approve entry for Samira and her infant daughter due to the urgent medical needs and humanitarian crisis they are facing.""
}",4,1
17,"[5, 4, 1, 3, 2]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Given the urgent need to provide for his struggling family, entry should be approved for Idris to access job programs and food assistance in Arstotzka.""
}",3,1
18,"[1, 2, 3, 5, 4]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approve entry for Oleg to speak at the Social Justice Forum despite missing travel documents due to government seizure.""
}",4,5
19,"[4, 3, 2, 1, 5]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Given the political persecution and fear for their safety, entry is approved for Irina to seek protection and find her partner.""
}",3,2
20,"[2, 3, 1, 5, 4]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Allow entry to Victor to share his revolutionary agricultural technique and help combat food shortages.""
}",4,5
21,"[2, 5, 1, 4, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approving entry for Sofia, 22, due to being a displaced flood victim in need of shelter and assistance.""
}",3,1
22,"[4, 1, 5, 2, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Allow entry for David to enhance the mobile application for individuals with disabilities.""
}",3,5
23,"[3, 4, 2, 5, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Approve entry for humanitarian reasons due to urgent need for relief services during a blizzard.""
}",5,1
24,"[2, 4, 3, 1, 5]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Approve entry to provide food aid for starving family.""
}",4,1
25,"[2, 4, 1, 5, 3]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Approving entry for humanitarian reasons due to urgent medical needs and natural disaster circumstances.""
}",3,1
26,"[3, 1, 5, 2, 4]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Empowering young women in technology is a valuable initiative that aligns with Arstotzka's interests.""
}",3,5
27,"[2, 3, 4, 5, 1]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Approving entry for humanitarian reasons to save children from starvation.""
}",5,1
